"asc_acc","asc_brk","speed_acc","speed_brk","nodv_acc","nodv_brk","dist_acc","dist_brk","time_acc","time_brk","asc_llc","asc_rlc","male_llc","male_rlc","male_acc","male_brk","oldAge_llc","oldAge_rlc","oldAge_acc","oldAge_brk","speed_llc","speed_rlc","nodv_llc","nodv_rlc","dist_llc","dist_rlc","time_llc","time_rlc","pos_acc","pos_brk","pos_llc","pos_rlc","logLike"
-0.0511830898164262,0.0246329566637672,-0.38522483445665,-0.0833802683262747,0.463359024671986,-0.0747538699276834,-0.00834282903752072,-0.000301878951199148,0.134831084598331,-0.038369847607031,-0.139918503667034,-0.129777031529167,-0.0653604852344951,-0.0552222886276567,-0.0735052042407696,0.021919697812111,-0.0513319268624442,-0.0470136963111289,0.0614526888322678,-0.0615463553905787,-0.619422762517805,-0.571157532396923,0.240672427847219,0.0680348904188365,0.0116472980442392,0.00775289535288921,0.0182864742368226,0.0129304113145838,-0.1442736518442,-0.0739371141364979,-0.0330331360432459,0.33447183525193,-14252.5006217671
-0.0389448112835163,0.0386852573603437,-0.393818345383854,-0.116272782279949,0.465160724194001,0.0211513947197284,-0.00997140754993541,-0.000876035129748829,0.188061994048407,-0.0496962320789744,-0.145406099429256,-0.144067792398467,-0.0458523913926932,-0.0445118481385546,-0.0650791561747122,0.0292950648297456,-0.0523449618804308,-0.0526523094508453,0.108951834504878,-0.0867087685202033,-0.634033922419667,-0.625377633728879,0.379470552585339,0.141434602548328,0.00774807527497814,0.00823596969084437,0.0250155139767287,0.0183364328045163,-0.196903276034944,-0.103373871716419,-0.0420360548769382,0.490118743140573,-14216.209574572
-0.00132079136086205,0.0960364963397142,-0.379178824514435,-0.106464908290707,0.366486714438397,-0.0917633547646031,-0.0129740749706258,0.00139794815196522,0.30924014701183,-0.074587308285976,-0.160138047169528,-0.159290830881318,0.0141052961338434,-0.00269386552753011,-0.04507353466816,0.0847578078424516,-0.0393370261226808,-0.0556350845163166,0.186022491915839,-0.073709659517483,-0.668734265505518,-0.664130230462502,0.456537654556747,0.276157060278756,0.00631872199102846,0.00446190831173823,0.0270308629471692,0.0262465654402668,-0.296561540318104,-0.136355392500274,-0.0633158576246634,0.851011422607129,-14184.2707347925
0.0447614395682446,0.171839873065087,-0.394912888871866,-0.139176481512888,0.37771203012319,-0.0677730917306704,-0.0189441036189624,0.00178305043828461,0.474967985829506,-0.0906119133430784,-0.164747744656599,-0.178874115071433,0.122126996311439,0.0606437207375974,-0.0395821047669732,0.133327686679112,-0.000844514046079305,-0.0474342469413417,0.233208639250462,-0.0518000210277396,-0.636313172899109,-0.703258282782108,0.31895822888491,0.297262953215914,0.00764102377961594,0.00586440540461068,0.0172551582208389,0.027420429367099,-0.40056789943604,-0.15532313724065,-0.0883092129820531,1.31323940263991,-14140.1032586102
0.0670556792310957,0.218562015724547,-0.398497603550709,-0.145473920061786,0.369268998285578,-0.0749983641308629,-0.0206934881337054,0.00151725255121812,0.526635740689286,-0.0816410485304453,-0.173077842657961,-0.181733603106636,0.145084759103396,0.0897683655977735,-0.0256025842879356,0.119819553475981,-0.00187310972249299,-0.0322977925042844,0.212210781253029,-0.0516038271275132,-0.651707264076143,-0.68181256911361,0.350640807430349,0.208953933886869,0.00757729486683738,0.0069227897203557,0.0238079958868848,0.0202995456168712,-0.382029249638971,-0.120467564168709,-0.0973965232519694,1.41955340156558,-14130.0159266973
0.170843955466044,0.462039828237641,-0.428190327722493,-0.194361004951317,0.366934610895637,-0.0688961677398319,-0.0263776321762778,-0.00102142493211905,0.685995076962017,-0.0146830548172847,-0.198514487091873,-0.2272290029542,0.217008650772445,0.121251866717891,0.0456437623671618,0.0613879375426804,-0.0279415397649152,-0.0157978604473822,0.0857034043322473,-0.0706849551073953,-0.655393231938509,-0.707716547199009,0.349950135335453,0.291967651541145,0.00556614444285411,0.00638129055954741,0.0696637474338039,0.00589632397985126,-0.169827913651957,0.0619368023925491,-0.102541065217773,1.5345780823596,-14113.7006989694
0.343009717467243,0.870611521354836,-0.474377325473524,-0.314150076154871,0.361920368118168,-0.0619091736708589,-0.031533677986382,-0.00280062658441836,0.831876308476391,0.0445278398155029,-0.238508339028272,-0.292816130375712,0.259972791370686,0.122234580988357,0.0841918931637427,0.21233359660924,-0.11030175367513,-0.0302537941959011,0.0914805056566521,-0.0453521823437323,-0.65282022679983,-0.689810361767897,0.348401212942017,0.28105200166942,0.00204284894816656,0.0065433555132105,0.168025376196116,-0.00414612958975732,0.00724225844990234,-0.000222815182893805,-0.0377566973367049,1.54722707698241,-14089.6630977767
0.916337491304698,2.29221529433805,-0.606928321220568,-0.58593770627994,0.324919348799214,-0.107124124784764,-0.0406210731905147,-0.00722855889869527,1.09820427128353,0.18191550748464,-0.371288927973382,-0.513426197077314,0.407805374897882,0.134315556775073,0.162060634080502,0.203126431560666,-0.283328036411372,-0.0694751817252589,0.223051417192575,-0.38510077237492,-0.625609375684219,-0.625255531081879,0.267858149089685,0.221010338949665,-0.00900211180887308,0.00624807462450229,0.491414113635778,0.00431350048719018,0.0217465698374229,-0.103710452156337,0.18476315941892,1.47793204119996,-14039.2722009298
2.35571336167272,5.81812497822338,-0.813742053490999,-1.38778548429554,0.223135755823556,-0.0944523866225292,-0.0514087313716123,-0.013752249083368,1.40416516196622,0.381678888095706,-0.715543932335933,-1.06503755410376,0.690980251474949,0.157177240290336,-0.0142058804180926,0.261214049969691,-0.597121798247312,-0.19013182696091,-0.0576815862198204,-0.309073881629977,-0.59727790282659,-0.480469589426039,0.225448545931437,0.160339595309878,-0.0368841145793323,0.0004527047861896,1.25511787278667,0.104148571045923,-0.556964781427844,-0.00748474056457782,0.588072403262821,1.27526588973371,-13918.8689831136
3.24244834294143,8.05445561029376,-1.04904363299007,-1.8576820224043,0.215452935420306,-0.0809038640744304,-0.0405315883732185,-0.00468853664305942,1.10037587824181,0.12243247559496,-0.943753988511655,-1.41683240748707,0.679468392311798,0.169924508509935,0.286915661686525,-0.000213926708080292,-0.538432885696051,-0.246088404228167,-0.0176392996292515,-0.00856493981573092,-0.542545456137035,-0.398898697194158,0.180122095189144,0.123516513583042,-0.0488143370738254,-0.00648462808876304,1.56859760076882,0.271809321273596,-0.59575117173475,-0.160715709951216,0.382274214940174,1.30400132921695,-13816.2427908938
4.64617451458895,11.3615025904469,-1.29055329869845,-2.61517520507109,0.165980571167166,-0.060690628825707,-0.0164406203911753,0.0255995520212522,0.402237334853738,-0.724977200329423,-1.3138917598729,-1.95344943618067,0.517210238796387,0.205854858160876,0.0769845826686873,0.202084000413232,-0.180984604911951,-0.185146373809693,-0.0200201590440882,-0.203697134552505,-0.44631860480319,-0.288104564684486,0.136851464345956,0.0587697971033126,-0.0557522751609131,-0.018818255536111,1.71365944044829,0.586555927154769,-0.419649620809582,-0.0626923919299073,-0.252293974333098,1.42351762089199,-13656.9772998472
6.37981794762085,14.2461268666074,-1.57106216117467,-3.20501176486877,0.101284116757679,-0.0370788381205158,-0.00967818091735373,0.0536109091674843,0.184555248365624,-1.53721727996193,-1.8590617037747,-2.52720523351847,0.0893232989869084,0.145824583655023,-0.370942892943324,-0.16242095926648,-0.301996837338424,0.1811321448466,0.170035965557066,0.010223063774374,-0.269471142804621,-0.191217381083287,0.214369510521588,0.0383024119180858,0.0285621742068324,-0.0220581147355567,-0.826832371755926,0.648919370527368,-0.205690730496788,-0.140846513506891,0.0586202367988216,1.45977351775199,-13606.1771918033
6.809524889073,14.8298750133865,-1.7208095395457,-3.37789724155954,0.111931603303501,-0.0234980284330314,-0.00158751756976985,0.0556388076568475,-0.0336779414021937,-1.58663712646045,-1.99051893065167,-2.66690041699819,-0.0205996139863085,0.0388906895214063,-0.0397933585728377,0.0582702279352408,-0.24858069116779,0.196015958227072,0.201942219493931,-0.0370874531819167,-0.236721105139051,-0.140507228662963,0.240267436177458,0.0100953311585618,0.0529168488971788,-0.0196316320869274,-1.54748757090312,0.581389967910728,-0.314741212860044,0.075373228531606,0.211335864013756,1.4875663270475,-13581.1635416839
7.08143875997251,15.0320004596855,-1.77915262267053,-3.42202235677771,0.100023961364087,-0.0310971763078031,0.00624924182795337,0.0531801209927946,-0.252093440738274,-1.51085812342146,-2.05405380168167,-2.74686497700948,-0.0192471343990677,-0.0444679949180561,0.121961336291764,0.141117200634647,-0.0993316496450955,0.135380471523419,-0.101300484122487,-0.172485988960441,-0.244838884055097,-0.110880319564096,0.270889856346656,0.0159348341032817,0.0656450906536723,-0.0160318929358031,-1.92975379347107,0.466623727407417,-0.332844681247759,-0.0874608559427872,0.330273833679487,1.57522392443141,-13570.5049898831
7.60808209521695,14.6123495122692,-1.87856460202947,-3.3331569634313,0.102889339743166,-0.0280143668501756,0.0139513982922468,0.0436387735084213,-0.476127559661182,-1.24001127060467,-2.05363922802756,-2.85210713673722,0.169891876453727,-0.106217555540175,-0.0248150086126632,0.107022644848936,0.298368289659085,-0.252331986703648,0.0561412274766854,-0.108122536010363,-0.32732780983066,-0.0485201893074356,0.320114621982763,0.00830573524602817,0.0699661552005989,0.000614979908496686,-2.05967484283136,-0.0312984619411143,-0.22751685547681,-0.0433184892521604,0.365680726235586,1.631310002596,-13555.1330409258
8.85080524358791,13.0280679188053,-2.1469082713193,-2.99475786021643,0.0777027966038177,-0.0091892971669426,0.0139611178214128,0.0517501051930749,-0.468188658302303,-1.47349690127072,-1.91858149428666,-3.06995224413183,0.0692574305388481,0.08703374831898,0.0864348000232695,0.102446849597905,0.353955095016338,-0.425295270631624,-0.0222537130534528,-0.10117376244109,-0.350010950246971,-0.0307608409157663,0.290816887345243,0.0327040245455573,0.0618665131318064,0.0374708956977018,-1.84006863771373,-1.1071215512437,-0.278932058752984,-0.0521047767281307,0.266707485450082,1.61948176549741,-13497.7321803628
