"asc_acc","asc_brk","speed_acc","speed_brk","nodv_acc","nodv_brk","dist_acc","dist_brk","time_acc","time_brk","asc_lc","male_lc","male_acc","male_brk","oldAge_lc","oldAge_acc","oldAge_brk","speed_lc","nodv_lc","dist_lc","time_lc","pos_acc","pos_brk","pos_lc","logLike"
0.0320422281944176,0.0960555677178486,-0.249591690768719,-0.160345077793318,0.141881949113979,0.110964933952666,-0.0168026885928039,-0.00686632029843941,0.310958658287145,-0.0896419314558692,-0.127181683163402,0.0754525033231809,0.03706869908411,0.135369326638844,-0.0262651511876663,0.269206519647428,-0.109619226616255,-0.514557559469937,0.047375578177163,-0.143011640508792,0.0064690230529872,-0.339458679726996,-0.186792538008198,0.966915597173402,-13895.395197159
0.0642285624177731,0.152611383375603,-0.240982307233585,-0.183789564268982,0.13547772312726,0.124093431152669,-0.0193391182365066,-0.00682520080896229,0.38022280979077,-0.0925310574157462,-0.139234156042211,0.129438465756543,0.00652600512398513,0.145454467426676,-0.017544847766766,0.145767902191311,-0.0394614875327371,-0.536362177294521,0.0840672705298885,-0.144191493867651,0.0111579448104648,-0.334680922522784,-0.175642992412163,1.2693740345487,-13866.7003976802
0.0864419937925112,0.215947535491688,-0.252571774860926,-0.179163761126775,0.136305337870667,0.117247612886467,-0.0201066048691794,-0.00743801222683019,0.401999230977055,-0.0774180361977818,-0.149922963709844,0.167093054203426,0.0450300370379595,0.0631988412437197,-0.00807911610485589,0.113687534085844,-0.086012872986982,-0.548463601920661,0.10151351732929,-0.144831789699244,0.0153499659081082,-0.251833031025268,-0.122009896945899,1.44520306757126,-13852.1711427599
0.16037049905593,0.42210375649127,-0.286629562846322,-0.260901522044661,0.150524637510613,0.129070571740461,-0.0187897135409413,-0.00896296902096153,0.363586879640468,-0.0270574872538112,-0.185056959238255,0.220571260840379,0.0502227745078217,0.208373394873273,-0.00391875681697099,0.223037477968604,-0.0605329811389516,-0.557916444406221,0.104552944207927,-0.144698924898322,0.0292684370889685,-0.0370018167148733,0.10477099628078,1.63479833677628,-13845.7453453051
0.604330582015936,1.61842019950217,-0.343605472156935,-0.515187046084132,0.15465549113442,0.105964491856355,-0.00750075017273947,-0.0108896532138758,0.0368055815083004,0.05989058983648,-0.380146314166081,0.383499280580827,-0.222206667354711,0.259873221148939,0.0152231681930946,0.302991361270849,-0.158941440636675,-0.55396302511191,0.0874898375700328,-0.144080034698937,0.106886926360758,0.128167689383442,-0.114847372823901,1.81229068641155,-13822.4743537219
1.29246231974564,3.44141527257765,-0.49442474554485,-0.905847270728381,0.165370069745798,0.0908037438923845,0.00453968477456565,-0.00811869540909009,-0.294883606142175,0.0204573881897795,-0.679978244851055,0.566629395093911,-0.207465587498682,0.174841408351957,0.0166526628420825,0.334539769982455,-0.0706683418846898,-0.540360220821696,0.107060964050119,-0.144635267868978,0.226992847369384,-0.0563102697127092,-0.0507022317374427,1.93466150538124,-13758.5865480323
2.66618103633182,6.76983231727202,-0.826566112470778,-1.65061180649478,0.170741159411348,0.0757740534793949,0.00441861218469059,0.0183547152882881,-0.273458506037782,-0.64627457962629,-1.23877431783132,0.764123232773972,0.0244441870150795,0.291936621047839,-0.0151074431402626,0.201021680309468,-0.0930840648748839,-0.490211439581456,0.174462931217964,-0.146772078038358,0.455520654519088,0.025313326165168,-0.156702690022362,1.97503587281434,-13638.459822209
2.86633229472343,7.18850191396857,-0.851882677224976,-1.73706376357037,0.16083479241787,0.0683574616293929,0.0018235456017463,0.0213524105389135,-0.199708102416284,-0.721435627634408,-1.30825886349312,0.760242325364216,-0.051818558809284,0.292335102113617,-0.0293184555868551,0.183498026368226,-0.160845088445755,-0.471418364461501,0.14838156899261,-0.146001754935346,0.486512536510213,-0.00585275473132887,-0.0963774931879419,1.97445989249398,-13622.1747691976
3.21166219158403,7.71555940330578,-0.920252013481152,-1.83852602321227,0.152165180638256,0.0584549516730685,-0.00738076536379862,0.0190455286482597,0.0611199111167041,-0.642114519670506,-1.39486463110331,0.604898914873766,-0.128788349072112,0.170646562390982,-0.114380093667982,0.283115150819175,-0.0314704655156827,-0.402367874633948,0.0288215266523602,-0.142357676376692,0.538702804252046,0.0368120307129903,-0.119569050231816,1.985873299803,-13606.5005434403
3.41903952383875,7.88959634133685,-0.968939457260639,-1.87980869813868,0.150164632123235,0.0520157476232333,-0.0096405953528749,0.0141233489346045,0.128493735216152,-0.493010837829124,-1.43502430489472,0.417818108944253,-0.0864180690424414,0.211241076354403,-0.137229350743013,0.236478859570623,-0.0736456719063185,-0.374124468225232,0.0828267729812237,-0.144525662608349,0.574072594879965,0.0237716079487262,-0.132374392584495,2.00418153117882,-13596.1953474178
4.39273882769976,8.04368414854286,-1.1847474130864,-1.9124224708994,0.150439109511441,0.039441874392355,-0.000134062664595357,0.0207368381001731,-0.132621616540649,-0.644128759661793,-1.57060651282093,-0.211655480371277,-0.0293312565495364,0.215157870475126,0.0953354996681509,0.185755171235033,-0.0894648022548065,-0.236434455494756,-0.145786692797595,-0.13786926946608,0.759018143843386,-0.00589275451042694,-0.130710518822893,2.27095330618737,-13564.1165312035
